Pay Date,Employee Id,Employee Name,Gross Pay,Commission Bonus,Federal Withholding,State Withholding,Fica,401K Employee,Health Premium Employee,Net Pay
2025-10-15,E001,Betty Rodriguez,5458.33,0,873.33,0.0,417.56,163.75,310.0,3693.69
2025-10-31,E001,Betty Rodriguez,5458.33,2891,873.33,0.0,417.56,0.0,485.0,6573.44
2025-10-15,E002,Nancy Scott,4083.33,0,653.33,0.0,312.37,245.0,0,2872.63
2025-10-31,E002,Nancy Scott,4083.33,150,653.33,0.0,312.37,122.5,310.0,2835.13
10/15/25,E003,Matthew Choi,5416.67,0,866.67,0.0,414.38,270.83,142.5,3722.29
2025-10-31,E003,Matthew Choi,5416.67,1485,866.67,0.0,414.38,325.0,485.0,4810.62
2025-10-15,E004,Priya Martinez,2875.0,0,460.0,0.0,219.94,0.0,310.0,1885.06
10/31/2025,E004,Priya Martinez,2875.0,2539,460.0,0.0,219.94,143.75,310.0,4280.31
2025-10-15,E005,Priya Garcia,5625.0,0,900.0,0.0,430.31,337.5,0,3957.19
31-Oct-2025,E005,Priya Garcia,5625.0,1159,900.0,0.0,430.31,281.25,0,5172.44
2025-10-15 ,E006,Elena Jackson,2750.0,0,440.0,0.0,210.38,137.5,0,1962.12
2025-10-31,E006,Elena Jackson,2750.0,0,440.0,0.0,210.38,137.5,0,1962.12
"Oct 15, 2025",E007,Ashley Wilson,2833.33,0,453.33,0.0,216.75,0.0,0,2163.25
2025-10-31,E007,Ashley Wilson,2833.33,0,453.33,0.0,216.75,0.0,0,2163.25
2025-10-15,E008,Jessica Schneider,3000.0,0,480.0,0.0,229.5,150.0,142.5,1998.0
31-Oct-2025,E008,Jessica Schneider,3000.0,0,480.0,0.0,229.5,0.0,142.5,2148.0
2025-10-15,E009,Matthew Jones,2208.33,0,353.33,0.0,168.94,110.42,485.0,1090.64
2025-10-31,E009,Matthew Jones,2208.33,0,353.33,0.0,168.94,132.5,0,1553.56
2025-10-15,E010,Nancy Fitzgerald,2833.33,0,453.33,0.0,216.75,170.0,0,1993.25
2025-10-31,E010,Nancy Fitzgerald,2833.33,0,453.33,0.0,216.75,170.0,142.5,1850.75
2025-10-15,E011,Sandra White,2333.33,0,373.33,0.0,178.5,116.67,142.5,1522.33
2025-10-31,E011,Sandra White,2333.33,0,373.33,0.0,178.5,70.0,0,1711.5
2025-10-15,E012,Patricia Thomas,4208.33,0,673.33,0.0,321.94,210.42,485.0,2517.64
2025-10-31,E012,Patricia Thomas,4208.33,0,673.33,0.0,321.94,126.25,142.5,2944.31
2025-10-15,E013,Sarah King,3125.0,0,500.0,0.0,239.06,0.0,310.0,2075.94
2025-10-31,E013,Sarah King,3125.0,0,500.0,0.0,239.06,187.5,310.0,1888.44
2025-10-15,E014,Carlos Harris,3250.0,0,520.0,0.0,248.62,162.5,485.0,1833.88
2025-10-31,E014,Carlos Harris,3250.0,0,520.0,0.0,248.62,97.5,0,2383.88
2025-10-15,E015,Susan Rodriguez,2583.33,0,413.33,0.0,197.62,155.0,485.0,1332.38
2025-10-31,E015,Susan Rodriguez,2583.33,0,413.33,0.0,197.62,0.0,310.0,1662.38
2025-10-15,E016,Robert Johnson,2500.0,0,400.0,0.0,191.25,75.0,0,1833.75
2025-10-31,E016,Robert Johnson,2500.0,0,400.0,0.0,191.25,125.0,310.0,1473.75
2025-10-15,E017,Priya Wilson,2708.33,0,433.33,0.0,207.19,135.42,485.0,1447.39
2025-10-31,E017,Priya Wilson,2708.33,0,433.33,0.0,207.19,135.42,0,1932.39
